"","Participant","eta","decay","Optimal.Likelihood","AIC_ai"
"1",1,0.159630238209892,0.409776597278701,136.460309183725,276.92061836745
"2",2,0.780846960166143,0.637829396584833,138.127620036926,280.255240073852
"3",3,0.381966011250105,0.381966011250105,136.600539582696,277.201079165393
"4",4,0.311847251921173,0.67274629560992,130.941498828616,265.882997657232
"5",5,0.144478807298174,0.701164618684458,136.319312945222,276.638625890444
"6",6,0.39320225002103,0.340710296090322,139.342959621555,282.68591924311
"7",7,0.70647159524306,0.285481930024856,125.963846951323,255.927693902645
"8",8,0.260182091800241,0.414185761314927,135.55804255481,275.11608510962
"9",9,0.298639703780112,0.618033988749895,132.514816613308,269.029633226616
"10",10,0.616085459599809,0.8425834592483,122.599680984504,249.199361969007
"11",11,0.372323525689053,0.381966011250105,140.135071375078,284.270142750156
"12",12,0.565623391771022,0.182359919468706,135.509797447065,275.01959489413
"13",13,0.381966011250105,0.23606797749979,134.422094365021,272.844188730042
"14",14,0.23606797749979,0.634571082167491,126.271523003935,256.54304600787
"15",15,0.618033988749895,0.618033988749895,125.525096127518,255.050192255036
"16",16,0.575694322688634,0.384923241737806,141.96784785685,287.935695713701
"17",17,0.616737432102042,0.909830056250526,135.267097604315,274.53419520863
"18",18,0.483672878405138,0.394649743549474,134.334231483262,272.668462966524
"19",19,0.618033988749895,0.453043922349896,139.78527572498,283.57055144996
"20",20,0.608167770994995,0.757114639490966,132.041980395806,268.083960791612
"21",21,0.419953694143487,0.769601425463248,127.603414469728,259.206828939456
"22",22,0.426131968926516,0.293998103335025,133.027335684839,270.054671369678
"23",23,0.758907023759569,0.405716597478995,141.369682648311,286.739365296621
"24",24,0.678787077491378,0.764495786133075,130.502098197627,265.004196395254
"25",25,0.112317952844428,0.16400266121554,135.113806379157,274.227612758314
"26",26,0.750724184864133,0.0981455630909327,133.577551453303,271.155102906605
"27",27,0.381966011250105,0.719327792399002,135.99448055767,275.988961115339
"28",28,0.636655116211808,0.381928155272808,140.568757638456,285.137515276913
"29",29,0.513796367111351,0.381966011250105,134.792942019045,273.58588403809
"30",30,0.396625491269747,0.703576955944386,134.378750237031,272.757500474061
"31",31,0.13848946028115,0.331664705832937,141.193979141286,286.387958282573
"32",32,0.300161076560837,0.366852346858399,133.271426550258,270.542853100516
"33",33,0.381966011250105,0.526510106702255,137.064866712601,278.129733425202
"34",34,0.389351304716576,0.601676215488963,133.481411389209,270.962822778417
"35",35,0.215683717178509,0.782341448200597,132.795164338584,269.590328677167
"36",36,0.360859295873612,0.416550803634875,142.008287177746,288.016574355492
"37",37,0.675681457476236,0.618033988749895,135.394004116432,274.788008232864
"38",38,0.382906288333473,0.23606797749979,131.314277660671,266.628555321342
"39",39,0.381966011250105,0.76393202250021,132.795692567339,269.591385134677
"40",40,0.617898540040876,0.720662949951432,137.437807300965,278.87561460193
"41",41,0.379814037080016,0.194790488269047,134.276199290859,272.552398581719
"42",42,0.343643332615715,0.10360892301101,138.949580510466,281.899161020932
"43",43,0.272269712574824,0.626060860234942,135.043962562554,274.087925125107
"44",44,0.286900370294514,0.784817790831046,134.133331356905,272.26666271381
