"","subject","block","trial","mu1","mu2","choice","reward","RT"
"1",1,1,1,-1,-2,0,0,1655
"2",1,1,2,-1,-2,1,-4,652
"3",1,1,3,-1,-2,0,-1,479
"4",1,1,4,-1,-2,0,-2,839
"5",1,1,5,-1,-2,1,-1,424
"6",1,1,6,-1,-2,0,0,426
"7",1,1,7,-1,-2,0,-3,407
"8",1,1,8,-1,-2,1,-1,686
"9",1,1,9,-1,-2,0,-1,391
"10",1,1,10,-1,-2,0,-1,350
"11",1,2,1,0,-10,0,0,670
"12",1,2,2,0,-10,1,-8,375
"13",1,2,3,0,-10,0,-2,367
"14",1,2,4,0,-10,0,0,415
"15",1,2,5,0,-10,0,0,407
"16",1,2,6,0,-10,0,-1,368
"17",1,2,7,0,-10,1,-11,471
"18",1,2,8,0,-10,0,1,335
"19",1,2,9,0,-10,0,0,351
"20",1,2,10,0,-10,1,-10,367
"21",1,3,1,-5,3,0,-5,530
"22",1,3,2,-5,3,1,2,302
"23",1,3,3,-5,3,1,2,375
"24",1,3,4,-5,3,1,3,360
"25",1,3,5,-5,3,1,2,319
"26",1,3,6,-5,3,1,1,335
"27",1,3,7,-5,3,1,2,385
"28",1,3,8,-5,3,1,4,350
"29",1,3,9,-5,3,1,3,367
"30",1,3,10,-5,3,1,4,391
"31",1,4,1,-2,1,1,1,683
"32",1,4,2,-2,1,1,3,319
"33",1,4,3,-2,1,0,-2,502
"34",1,4,4,-2,1,1,3,543
"35",1,4,5,-2,1,1,1,327
"36",1,4,6,-2,1,1,1,342
"37",1,4,7,-2,1,1,0,342
"38",1,4,8,-2,1,1,1,383
"39",1,4,9,-2,1,1,2,424
"40",1,4,10,-2,1,1,1,390
"41",1,5,1,-2,-11,1,-11,504
"42",1,5,2,-2,-11,0,-2,415
"43",1,5,3,-2,-11,0,-3,596
"44",1,5,4,-2,-11,0,-2,485
"45",1,5,5,-2,-11,0,-2,493
"46",1,5,6,-2,-11,0,-3,399
"47",1,5,7,-2,-11,0,-1,392
"48",1,5,8,-2,-11,0,-6,424
"49",1,5,9,-2,-11,1,-10,503
"50",1,5,10,-2,-11,0,-3,351
"51",1,6,1,-5,-9,0,-6,656
"52",1,6,2,-5,-9,1,-9,365
"53",1,6,3,-5,-9,0,-5,519
"54",1,6,4,-5,-9,0,-5,342
"55",1,6,5,-5,-9,0,-5,319
"56",1,6,6,-5,-9,0,-4,423
"57",1,6,7,-5,-9,0,-5,399
"58",1,6,8,-5,-9,0,-6,405
"59",1,6,9,-5,-9,0,-4,359
"60",1,6,10,-5,-9,0,-3,375
"61",1,7,1,1,0,0,1,774
"62",1,7,2,1,0,0,-1,366
"63",1,7,3,1,0,1,0,340
"64",1,7,4,1,0,1,0,335
"65",1,7,5,1,0,1,-1,439
"66",1,7,6,1,0,0,-1,368
"67",1,7,7,1,0,0,3,463
"68",1,7,8,1,0,0,0,343
"69",1,7,9,1,0,0,2,367
"70",1,7,10,1,0,0,-1,359
"71",1,8,1,1,-7,0,1,464
"72",1,8,2,1,-7,0,1,396
"73",1,8,3,1,-7,0,-1,334
"74",1,8,4,1,-7,0,4,351
"75",1,8,5,1,-7,0,2,383
"76",1,8,6,1,-7,0,-1,360
"77",1,8,7,1,-7,0,0,343
"78",1,8,8,1,-7,0,0,455
"79",1,8,9,1,-7,0,2,415
"80",1,8,10,1,-7,0,1,415
"81",1,9,1,9,-4,0,8,474
"82",1,9,2,9,-4,0,8,407
"83",1,9,3,9,-4,0,8,510
"84",1,9,4,9,-4,1,-4,320
"85",1,9,5,9,-4,0,7,351
"86",1,9,6,9,-4,0,11,352
"87",1,9,7,9,-4,0,6,376
"88",1,9,8,9,-4,0,8,535
"89",1,9,9,9,-4,0,9,423
"90",1,9,10,9,-4,0,10,615
"91",1,10,1,-8,-8,0,-9,961
"92",1,10,2,-8,-8,1,-10,423
"93",1,10,3,-8,-8,0,-8,382
"94",1,10,4,-8,-8,0,-9,318
"95",1,10,5,-8,-8,0,-9,367
"96",1,10,6,-8,-8,0,-8,511
"97",1,10,7,-8,-8,0,-9,383
"98",1,10,8,-8,-8,0,-9,359
"99",1,10,9,-8,-8,0,-9,342
"100",1,10,10,-8,-8,0,-7,366
"101",1,11,1,11,16,0,10,554
"102",1,11,2,11,16,0,10,397
"103",1,11,3,11,16,0,12,359
"104",1,11,4,11,16,0,11,377
"105",1,11,5,11,16,1,17,359
"106",1,11,6,11,16,1,16,406
"107",1,11,7,11,16,1,18,310
"108",1,11,8,11,16,1,16,367
"109",1,11,9,11,16,1,17,352
"110",1,11,10,11,16,1,16,336
"111",1,12,1,-11,4,1,5,734
"112",1,12,2,-11,4,0,-12,343
"113",1,12,3,-11,4,1,4,343
"114",1,12,4,-11,4,1,4,383
"115",1,12,5,-11,4,1,3,375
"116",1,12,6,-11,4,1,5,358
"117",1,12,7,-11,4,1,4,359
"118",1,12,8,-11,4,1,5,351
"119",1,12,9,-11,4,1,4,352
"120",1,12,10,-11,4,1,3,355
"121",1,13,1,-3,4,1,5,544
"122",1,13,2,-3,4,0,-2,342
"123",1,13,3,-3,4,1,3,327
"124",1,13,4,-3,4,1,5,351
"125",1,13,5,-3,4,1,2,383
"126",1,13,6,-3,4,1,5,383
"127",1,13,7,-3,4,1,4,406
"128",1,13,8,-3,4,1,3,335
"129",1,13,9,-3,4,1,4,367
"130",1,13,10,-3,4,1,4,367
"131",1,14,1,-6,-6,1,-5,543
"132",1,14,2,-6,-6,0,-6,344
"133",1,14,3,-6,-6,1,-5,375
"134",1,14,4,-6,-6,0,-7,356
"135",1,14,5,-6,-6,0,-6,374
"136",1,14,6,-6,-6,0,-4,374
"137",1,14,7,-6,-6,1,-7,503
"138",1,14,8,-6,-6,0,-6,431
"139",1,14,9,-6,-6,0,-7,383
"140",1,14,10,-6,-6,0,-7,367
"141",1,15,1,-16,-9,0,-19,743
"142",1,15,2,-16,-9,1,-9,327
"143",1,15,3,-16,-9,1,-8,325
"144",1,15,4,-16,-9,1,-8,334
"145",1,15,5,-16,-9,1,-8,319
"146",1,15,6,-16,-9,1,-10,488
"147",1,15,7,-16,-9,0,-16,688
"148",1,15,8,-16,-9,1,-9,335
"149",1,15,9,-16,-9,1,-9,358
"150",1,15,10,-16,-9,1,-8,904
"151",1,16,1,-7,8,1,9,454
"152",1,16,2,-7,8,0,-8,390
"153",1,16,3,-7,8,1,8,319
"154",1,16,4,-7,8,1,10,351
"155",1,16,5,-7,8,1,9,359
"156",1,16,6,-7,8,1,9,320
"157",1,16,7,-7,8,1,9,369
"158",1,16,8,-7,8,1,8,382
"159",1,16,9,-7,8,1,7,383
"160",1,16,10,-7,8,1,7,423
"161",1,17,1,15,2,1,2,520
"162",1,17,2,15,2,0,16,334
"163",1,17,3,15,2,0,15,343
"164",1,17,4,15,2,0,15,335
"165",1,17,5,15,2,0,16,344
"166",1,17,6,15,2,0,16,335
"167",1,17,7,15,2,0,14,352
"168",1,17,8,15,2,0,15,383
"169",1,17,9,15,2,0,15,343
"170",1,17,10,15,2,0,14,327
"171",1,18,1,-6,-4,1,-3,491
"172",1,18,2,-6,-4,0,-5,512
"173",1,18,3,-6,-4,0,-6,399
"174",1,18,4,-6,-4,1,-6,327
"175",1,18,5,-6,-4,0,-7,406
"176",1,18,6,-6,-4,1,-2,328
"177",1,18,7,-6,-4,0,-6,343
"178",1,18,8,-6,-4,1,-4,344
"179",1,18,9,-6,-4,0,-6,377
"180",1,18,10,-6,-4,1,-2,327
"181",1,19,1,2,18,1,18,484
"182",1,19,2,2,18,0,1,359
"183",1,19,3,2,18,1,18,343
"184",1,19,4,2,18,1,18,311
"185",1,19,5,2,18,1,17,343
"186",1,19,6,2,18,1,18,351
"187",1,19,7,2,18,1,18,359
"188",1,19,8,2,18,1,18,351
"189",1,19,9,2,18,1,18,367
"190",1,19,10,2,18,1,19,360
"191",1,20,1,3,3,1,4,553
"192",1,20,2,3,3,0,1,487
"193",1,20,3,3,3,1,3,375
"194",1,20,4,3,3,1,3,343
"195",1,20,5,3,3,1,5,350
"196",1,20,6,3,3,1,4,327
"197",1,20,7,3,3,1,2,335
"198",1,20,8,3,3,1,4,439
"199",1,20,9,3,3,1,3,375
"200",1,20,10,3,3,1,4,357
"201",2,1,1,-2,-7,0,-3,1309
