"","mu1exp1"
"1",0
"2",-1
"3",-1
"4",1
"5",1
"6",2
"7",-1
"8",0
"9",2
"10",0
"11",-2
"12",0
"13",2
"14",0
"15",2
"16",-1
"17",-2
"18",-1
"19",2
"20",-1
"21",0
"22",-2
"23",1
"24",0
"25",1
"26",3
"27",0
"28",0
"29",1
"30",0
"31",-2
"32",2
"33",0
"34",0
"35",1
"36",1
"37",0
"38",0
"39",-1
"40",0
"41",1
"42",1
"43",1
"44",0
"45",-1
"46",-2
"47",2
"48",-1
"49",0
"50",2
"51",1
"52",2
"53",-3
"54",0
"55",0
"56",0
"57",2
"58",0
"59",0
"60",0
"61",0
"62",0
"63",-1
"64",1
"65",0
"66",0
"67",1
"68",0
"69",0
"70",-1
"71",0
"72",-1
"73",-1
"74",0
"75",-1
"76",0
"77",-1
"78",2
"79",0
"80",0
"81",2
"82",-1
"83",0
"84",-1
"85",-2
"86",0
"87",-2
"88",-1
"89",-1
"90",0
"91",0
"92",1
"93",1
"94",0
"95",-1
"96",-3
"97",0
"98",0
"99",-1
"100",1
"101",1
"102",-1
"103",2
"104",1
"105",-1
"106",-1
"107",1
"108",-2
"109",-1
"110",0
"111",-1
"112",0
"113",1
"114",1
"115",0
"116",0
"117",-1
"118",1
"119",1
"120",0
"121",0
"122",0
"123",-1
"124",0
"125",0
"126",0
"127",1
"128",1
"129",-1
"130",1
"131",0
"132",1
"133",1
"134",1
"135",-1
"136",0
"137",0
"138",1
"139",1
"140",2
"141",2
"142",0
"143",0
"144",0
"145",2
"146",0
"147",1
"148",0
"149",0
"150",0
"151",0
"152",0
"153",-1
"154",-2
"155",1
"156",1
"157",0
"158",0
"159",-1
"160",-2
"161",1
"162",0
"163",0
"164",0
"165",1
"166",0
"167",-1
"168",0
"169",1
"170",1
"171",-1
"172",2
"173",1
"174",0
"175",0
"176",0
"177",0
"178",0
"179",1
"180",1
"181",0
"182",-2
"183",-1
"184",-1
"185",-1
"186",0
"187",0
"188",0
"189",2
"190",0
"191",0
"192",2
"193",-2
"194",-1
"195",0
"196",0
"197",-1
"198",-1
"199",1
"200",1
"201",2
"202",0
"203",0
"204",-1
"205",-1
"206",1
"207",0
"208",0
"209",-1
"210",2
"211",1
"212",1
"213",0
"214",-2
"215",0
"216",-1
"217",0
"218",2
"219",1
"220",0
"221",-1
"222",-1
"223",1
"224",0
"225",1
"226",1
"227",0
"228",1
"229",-1
"230",0
"231",0
"232",0
"233",-1
"234",0
"235",1
"236",0
"237",-1
"238",-1
"239",0
"240",1
"241",1
"242",1
"243",-1
"244",1
"245",0
"246",0
"247",2
"248",-1
"249",0
"250",-2
"251",1
"252",0
"253",3
"254",1
"255",0
"256",0
"257",0
"258",1
"259",-1
"260",-1
"261",-1
"262",0
"263",1
"264",1
"265",0
"266",2
"267",-2
"268",-1
"269",-1
"270",1
"271",-1
"272",1
"273",3
"274",-1
"275",-2
"276",1
"277",0
"278",-2
"279",0
"280",0
"281",0
"282",0
"283",1
"284",1
"285",1
"286",0
"287",-1
"288",-1
"289",1
"290",-1
"291",0
"292",-1
"293",2
"294",-1
"295",0
"296",1
"297",-1
"298",0
"299",0
"300",-1
"301",1
"302",1
"303",-1
"304",-1
"305",0
"306",0
"307",-1
"308",0
"309",0
"310",-2
"311",2
"312",-1
"313",0
"314",1
"315",0
"316",0
