"","mu1","mu2","choice","reward"
"1",-1,-2,0,0
"2",-1,-2,1,-4
"3",-1,-2,0,-1
"4",-1,-2,0,-2
"5",-1,-2,1,-1
"6",-1,-2,0,0
"7",-1,-2,0,-3
"8",-1,-2,1,-1
"9",-1,-2,0,-1
"10",-1,-2,0,-1
"11",0,-10,0,0
"12",0,-10,1,-8
"13",0,-10,0,-2
"14",0,-10,0,0
"15",0,-10,0,0
"16",0,-10,0,-1
"17",0,-10,1,-11
"18",0,-10,0,1
"19",0,-10,0,0
"20",0,-10,1,-10
"21",-5,3,0,-5
"22",-5,3,1,2
"23",-5,3,1,2
"24",-5,3,1,3
"25",-5,3,1,2
"26",-5,3,1,1
"27",-5,3,1,2
"28",-5,3,1,4
"29",-5,3,1,3
"30",-5,3,1,4
"31",-2,1,1,1
"32",-2,1,1,3
"33",-2,1,0,-2
"34",-2,1,1,3
"35",-2,1,1,1
"36",-2,1,1,1
"37",-2,1,1,0
"38",-2,1,1,1
"39",-2,1,1,2
"40",-2,1,1,1
"41",-2,-11,1,-11
"42",-2,-11,0,-2
"43",-2,-11,0,-3
"44",-2,-11,0,-2
"45",-2,-11,0,-2
"46",-2,-11,0,-3
"47",-2,-11,0,-1
"48",-2,-11,0,-6
"49",-2,-11,1,-10
"50",-2,-11,0,-3
"51",-5,-9,0,-6
"52",-5,-9,1,-9
"53",-5,-9,0,-5
"54",-5,-9,0,-5
"55",-5,-9,0,-5
"56",-5,-9,0,-4
"57",-5,-9,0,-5
"58",-5,-9,0,-6
"59",-5,-9,0,-4
"60",-5,-9,0,-3
"61",1,0,0,1
"62",1,0,0,-1
"63",1,0,1,0
"64",1,0,1,0
"65",1,0,1,-1
"66",1,0,0,-1
"67",1,0,0,3
"68",1,0,0,0
"69",1,0,0,2
"70",1,0,0,-1
"71",1,-7,0,1
"72",1,-7,0,1
"73",1,-7,0,-1
"74",1,-7,0,4
"75",1,-7,0,2
"76",1,-7,0,-1
"77",1,-7,0,0
"78",1,-7,0,0
"79",1,-7,0,2
"80",1,-7,0,1
"81",9,-4,0,8
"82",9,-4,0,8
"83",9,-4,0,8
"84",9,-4,1,-4
"85",9,-4,0,7
"86",9,-4,0,11
"87",9,-4,0,6
"88",9,-4,0,8
"89",9,-4,0,9
"90",9,-4,0,10
"91",-8,-8,0,-9
"92",-8,-8,1,-10
"93",-8,-8,0,-8
"94",-8,-8,0,-9
"95",-8,-8,0,-9
"96",-8,-8,0,-8
"97",-8,-8,0,-9
"98",-8,-8,0,-9
"99",-8,-8,0,-9
"100",-8,-8,0,-7
"101",11,16,0,10
"102",11,16,0,10
"103",11,16,0,12
"104",11,16,0,11
"105",11,16,1,17
"106",11,16,1,16
"107",11,16,1,18
"108",11,16,1,16
"109",11,16,1,17
"110",11,16,1,16
"111",-11,4,1,5
"112",-11,4,0,-12
"113",-11,4,1,4
"114",-11,4,1,4
"115",-11,4,1,3
"116",-11,4,1,5
"117",-11,4,1,4
"118",-11,4,1,5
"119",-11,4,1,4
"120",-11,4,1,3
"121",-3,4,1,5
"122",-3,4,0,-2
"123",-3,4,1,3
"124",-3,4,1,5
"125",-3,4,1,2
"126",-3,4,1,5
"127",-3,4,1,4
"128",-3,4,1,3
"129",-3,4,1,4
"130",-3,4,1,4
"131",-6,-6,1,-5
"132",-6,-6,0,-6
"133",-6,-6,1,-5
"134",-6,-6,0,-7
"135",-6,-6,0,-6
"136",-6,-6,0,-4
"137",-6,-6,1,-7
"138",-6,-6,0,-6
"139",-6,-6,0,-7
"140",-6,-6,0,-7
"141",-16,-9,0,-19
"142",-16,-9,1,-9
"143",-16,-9,1,-8
"144",-16,-9,1,-8
"145",-16,-9,1,-8
"146",-16,-9,1,-10
"147",-16,-9,0,-16
"148",-16,-9,1,-9
"149",-16,-9,1,-9
"150",-16,-9,1,-8
"151",-7,8,1,9
"152",-7,8,0,-8
"153",-7,8,1,8
"154",-7,8,1,10
"155",-7,8,1,9
"156",-7,8,1,9
"157",-7,8,1,9
"158",-7,8,1,8
"159",-7,8,1,7
"160",-7,8,1,7
"161",15,2,1,2
"162",15,2,0,16
"163",15,2,0,15
"164",15,2,0,15
"165",15,2,0,16
"166",15,2,0,16
"167",15,2,0,14
"168",15,2,0,15
"169",15,2,0,15
"170",15,2,0,14
"171",-6,-4,1,-3
"172",-6,-4,0,-5
"173",-6,-4,0,-6
"174",-6,-4,1,-6
"175",-6,-4,0,-7
"176",-6,-4,1,-2
"177",-6,-4,0,-6
"178",-6,-4,1,-4
"179",-6,-4,0,-6
"180",-6,-4,1,-2
"181",2,18,1,18
"182",2,18,0,1
"183",2,18,1,18
"184",2,18,1,18
"185",2,18,1,17
"186",2,18,1,18
"187",2,18,1,18
"188",2,18,1,18
"189",2,18,1,18
"190",2,18,1,19
"191",3,3,1,4
"192",3,3,0,1
"193",3,3,1,3
"194",3,3,1,3
"195",3,3,1,5
"196",3,3,1,4
"197",3,3,1,2
"198",3,3,1,4
"199",3,3,1,3
"200",3,3,1,4
"201",-2,-7,0,-3
"202",-2,-7,1,-8
"203",-2,-7,0,-3
"204",-2,-7,1,-7
"205",-2,-7,0,-2
"206",-2,-7,0,-2
"207",-2,-7,0,-1
"208",-2,-7,0,-3
"209",-2,-7,1,-7
"210",-2,-7,0,-2
"211",8,8,1,8
"212",8,8,0,7
"213",8,8,1,9
"214",8,8,1,8
"215",8,8,1,6
"216",8,8,1,8
"217",8,8,1,9
"218",8,8,1,7
"219",8,8,1,9
"220",8,8,1,8
"221",11,-5,1,-5
"222",11,-5,0,11
"223",11,-5,0,11
"224",11,-5,0,11
"225",11,-5,0,11
"226",11,-5,0,11
"227",11,-5,0,13
"228",11,-5,0,13
"229",11,-5,0,10
"230",11,-5,0,11
"231",-5,6,1,6
"232",-5,6,0,-5
"233",-5,6,1,8
"234",-5,6,1,6
"235",-5,6,1,6
"236",-5,6,1,6
"237",-5,6,1,7
"238",-5,6,1,6
