"","mu1exp1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",-1
"12",-1
"13",-1
"14",-1
"15",-1
"16",-1
"17",-1
"18",-1
"19",-1
"20",-1
"21",-1
"22",-1
"23",-1
"24",-1
"25",-1
"26",-1
"27",-1
"28",-1
"29",-1
"30",-1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",2
"60",2
"61",-1
"62",-1
"63",-1
"64",-1
"65",-1
"66",-1
"67",-1
"68",-1
"69",-1
"70",-1
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",2
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",-2
"102",-2
"103",-2
"104",-2
"105",-2
"106",-2
"107",-2
"108",-2
"109",-2
"110",-2
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",2
"122",2
"123",2
"124",2
"125",2
"126",2
"127",2
"128",2
"129",2
"130",2
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",2
"142",2
"143",2
"144",2
"145",2
"146",2
"147",2
"148",2
"149",2
"150",2
"151",-1
"152",-1
"153",-1
"154",-1
"155",-1
"156",-1
"157",-1
"158",-1
"159",-1
"160",-1
"161",-2
"162",-2
"163",-2
"164",-2
"165",-2
"166",-2
"167",-2
"168",-2
"169",-2
"170",-2
"171",-1
"172",-1
"173",-1
"174",-1
"175",-1
"176",-1
"177",-1
"178",-1
"179",-1
"180",-1
"181",2
"182",2
"183",2
"184",2
"185",2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",-1
"192",-1
"193",-1
"194",-1
"195",-1
"196",-1
"197",-1
"198",-1
"199",-1
"200",-1
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
