"","mu1","mu2"
"1",-1,-2
"2",-1,-2
"3",-1,-2
"4",-1,-2
"5",-1,-2
"6",-1,-2
"7",-1,-2
"8",-1,-2
"9",-1,-2
"10",-1,-2
"11",0,-10
"12",0,-10
"13",0,-10
"14",0,-10
"15",0,-10
"16",0,-10
"17",0,-10
"18",0,-10
"19",0,-10
"20",0,-10
"21",-5,3
"22",-5,3
"23",-5,3
"24",-5,3
"25",-5,3
"26",-5,3
"27",-5,3
"28",-5,3
"29",-5,3
"30",-5,3
"31",-2,1
"32",-2,1
"33",-2,1
"34",-2,1
"35",-2,1
"36",-2,1
"37",-2,1
"38",-2,1
"39",-2,1
"40",-2,1
"41",-2,-11
"42",-2,-11
"43",-2,-11
"44",-2,-11
"45",-2,-11
"46",-2,-11
"47",-2,-11
"48",-2,-11
"49",-2,-11
"50",-2,-11
"51",-5,-9
"52",-5,-9
"53",-5,-9
"54",-5,-9
"55",-5,-9
"56",-5,-9
"57",-5,-9
"58",-5,-9
"59",-5,-9
"60",-5,-9
"61",1,0
"62",1,0
"63",1,0
"64",1,0
"65",1,0
"66",1,0
"67",1,0
"68",1,0
"69",1,0
"70",1,0
"71",1,-7
"72",1,-7
"73",1,-7
"74",1,-7
"75",1,-7
"76",1,-7
"77",1,-7
"78",1,-7
"79",1,-7
"80",1,-7
"81",9,-4
"82",9,-4
"83",9,-4
"84",9,-4
"85",9,-4
"86",9,-4
"87",9,-4
"88",9,-4
"89",9,-4
"90",9,-4
"91",-8,-8
"92",-8,-8
"93",-8,-8
"94",-8,-8
"95",-8,-8
"96",-8,-8
"97",-8,-8
"98",-8,-8
"99",-8,-8
"100",-8,-8
"101",11,16
"102",11,16
"103",11,16
"104",11,16
"105",11,16
"106",11,16
"107",11,16
"108",11,16
"109",11,16
"110",11,16
"111",-11,4
"112",-11,4
"113",-11,4
"114",-11,4
"115",-11,4
"116",-11,4
"117",-11,4
"118",-11,4
"119",-11,4
"120",-11,4
"121",-3,4
"122",-3,4
"123",-3,4
"124",-3,4
"125",-3,4
"126",-3,4
"127",-3,4
"128",-3,4
"129",-3,4
"130",-3,4
"131",-6,-6
"132",-6,-6
"133",-6,-6
"134",-6,-6
"135",-6,-6
"136",-6,-6
"137",-6,-6
"138",-6,-6
"139",-6,-6
"140",-6,-6
"141",-16,-9
"142",-16,-9
"143",-16,-9
"144",-16,-9
"145",-16,-9
"146",-16,-9
"147",-16,-9
"148",-16,-9
"149",-16,-9
"150",-16,-9
"151",-7,8
"152",-7,8
"153",-7,8
"154",-7,8
"155",-7,8
"156",-7,8
"157",-7,8
"158",-7,8
"159",-7,8
"160",-7,8
"161",15,2
